x,y,z,type
-4,-438,0,M0_macrophage
14,-432,0,M0_macrophage
-89,-422,0,effector_T_cell
144,-417,0,effector_T_cell
56,-414,0,effector_T_cell
148,-412,0,effector_T_cell
-191,-402,0,effector_T_cell
121,-388,0,M0_macrophage
99,-371,0,M0_macrophage
196,-368,0,M0_macrophage
-37,-367,0,M0_macrophage
230,-367,0,effector_T_cell
-212,-363,0,effector_T_cell
249,-362,0,M0_macrophage
-79,-351,0,M0_macrophage
-213,-343,0,effector_T_cell
-296,-338,0,effector_T_cell
-227,-336,0,effector_T_cell
-90,-330,0,effector_T_cell
-197,-327,0,effector_T_cell
-276,-325,0,M0_macrophage
-293,-323,0,effector_T_cell
296,-320,0,M0_macrophage
-82,-315,0,effector_T_cell
-33,-313,0,effector_T_cell
265,-311,0,effector_T_cell
-95,-308,0,effector_T_cell
-327,-307,0,effector_T_cell
-11,-299,0,malignant_epithelial_cell
-13,-297,0,malignant_epithelial_cell
-2,-297,0,malignant_epithelial_cell
-5,-294,0,malignant_epithelial_cell
-6,-293,0,malignant_epithelial_cell
-276,-290,0,effector_T_cell
-56,-290,0,malignant_epithelial_cell
68,-289,0,malignant_epithelial_cell
-8,-288,0,malignant_epithelial_cell
-23,-285,0,malignant_epithelial_cell
-13,-285,0,malignant_epithelial_cell
-10,-285,0,malignant_epithelial_cell
38,-284,0,malignant_epithelial_cell
-9,-283,0,malignant_epithelial_cell
87,-283,0,malignant_epithelial_cell
281,-283,0,effector_T_cell
154,-281,0,effector_T_cell
-40,-280,0,malignant_epithelial_cell
284,-280,0,M0_macrophage
-5,-278,0,malignant_epithelial_cell
-32,-277,0,malignant_epithelial_cell
23,-277,0,malignant_epithelial_cell
72,-277,0,malignant_epithelial_cell
73,-276,0,malignant_epithelial_cell
118,-275,0,malignant_epithelial_cell
-29,-274,0,malignant_epithelial_cell
21,-274,0,malignant_epithelial_cell
-325,-272,0,effector_T_cell
71,-272,0,malignant_epithelial_cell
-84,-270,0,malignant_epithelial_cell
-57,-269,0,malignant_epithelial_cell
61,-268,0,malignant_epithelial_cell
37,-267,0,malignant_epithelial_cell
339,-267,0,M0_macrophage
8,-265,0,malignant_epithelial_cell
-41,-264,0,malignant_epithelial_cell
76,-264,0,malignant_epithelial_cell
103,-263,0,malignant_epithelial_cell
-43,-260,0,malignant_epithelial_cell
40,-260,0,malignant_epithelial_cell
146,-259,0,malignant_epithelial_cell
-112,-258,0,malignant_epithelial_cell
44,-258,0,malignant_epithelial_cell
80,-256,0,malignant_epithelial_cell
155,-256,0,malignant_epithelial_cell
-150,-254,0,malignant_epithelial_cell
-79,-254,0,malignant_epithelial_cell
-16,-254,0,malignant_epithelial_cell
