x,y,z,type
39,-437,0,M0_macrophage
91,-436,0,M0_macrophage
-141,-426,0,effector_T_cell
162,-416,0,effector_T_cell
-19,-394,0,M0_macrophage
158,-394,0,effector_T_cell
-159,-384,0,M0_macrophage
176,-372,0,M0_macrophage
168,-371,0,effector_T_cell
-102,-367,0,M0_macrophage
41,-365,0,M0_macrophage
63,-346,0,effector_T_cell
19,-345,0,effector_T_cell
70,-336,0,M0_macrophage
189,-331,0,effector_T_cell
-120,-330,0,M0_macrophage
-47,-325,0,effector_T_cell
-20,-322,0,M0_macrophage
-50,-318,0,effector_T_cell
-185,-317,0,effector_T_cell
-96,-317,0,effector_T_cell
98,-310,0,M0_macrophage
60,-305,0,M0_macrophage
-135,-299,0,effector_T_cell
-9,-297,0,malignant_epithelial_cell
-46,-296,0,malignant_epithelial_cell
14,-294,0,malignant_epithelial_cell
-279,-291,0,effector_T_cell
-54,-290,0,malignant_epithelial_cell
-264,-289,0,effector_T_cell
-63,-288,0,malignant_epithelial_cell
-44,-288,0,malignant_epithelial_cell
-27,-288,0,malignant_epithelial_cell
14,-286,0,malignant_epithelial_cell
-129,-285,0,effector_T_cell
166,-284,0,M0_macrophage
-25,-283,0,malignant_epithelial_cell
35,-282,0,malignant_epithelial_cell
-7,-281,0,malignant_epithelial_cell
41,-281,0,malignant_epithelial_cell
-25,-280,0,malignant_epithelial_cell
-40,-279,0,malignant_epithelial_cell
47,-279,0,malignant_epithelial_cell
-280,-277,0,effector_T_cell
16,-277,0,malignant_epithelial_cell
246,-277,0,M0_macrophage
196,-276,0,effector_T_cell
100,-275,0,malignant_epithelial_cell
-20,-274,0,malignant_epithelial_cell
75,-272,0,malignant_epithelial_cell
-98,-271,0,malignant_epithelial_cell
-95,-271,0,malignant_epithelial_cell
-222,-270,0,M0_macrophage
59,-269,0,malignant_epithelial_cell
103,-269,0,malignant_epithelial_cell
130,-269,0,malignant_epithelial_cell
224,-268,0,effector_T_cell
-164,-267,0,M0_macrophage
-50,-266,0,malignant_epithelial_cell
-10,-266,0,malignant_epithelial_cell
259,-263,0,effector_T_cell
-52,-262,0,malignant_epithelial_cell
-9,-262,0,malignant_epithelial_cell
-105,-261,0,malignant_epithelial_cell
88,-260,0,malignant_epithelial_cell
-12,-259,0,malignant_epithelial_cell
18,-259,0,malignant_epithelial_cell
19,-259,0,malignant_epithelial_cell
53,-259,0,malignant_epithelial_cell
-4,-258,0,malignant_epithelial_cell
139,-257,0,malignant_epithelial_cell
-142,-256,0,malignant_epithelial_cell
-136,-256,0,malignant_epithelial_cell
-71,-256,0,malignant_epithelial_cell
-21,-256,0,malignant_epithelial_cell
40,-256,0,malignant_epithelial_cell
134,-256,0,malignant_epithelial_cell
29,-255,0,malignant_epithelial_cell
-67,-254,0,malignant_epithelial_cell
-26,-254,0,malignant_epithelial_cell
84,-254,0,malignant_epithelial_cell
49,-253,0,malignant_epithelial_cell
126,-253,0,malignant_epithelial_cell
158,-253,0,malignant_epithelial_cell
-143,-252,0,malignant_epithelial_cell
104,-251,0,malignant_epithelial_cell
50,-249,0,malignant_epithelial_cell
348,-248,0,effector_T_cell
-119,-247,0,malignant_epithelial_cell
-137,-246,0,malignant_epithelial_cell
-99,-245,0,malignant_epithelial_cell
2,-245,0,malignant_epithelial_cell
112,-244,0,malignant_epithelial_cell
22,-243,0,malignant_epithelial_cell
77,-243,0,malignant_epithelial_cell
124,-242,0,malignant_epithelial_cell
-22,-241,0,malignant_epithelial_cell
-78,-240,0,malignant_epithelial_cell
-11,-240,0,malignant_epithelial_cell
80,-240,0,malignant_epithelial_cell
-355,-239,0,effector_T_cell
-125,-239,0,malignant_epithelial_cell
-74,-238,0,malignant_epithelial_cell
-15,-238,0,malignant_epithelial_cell
23,-238,0,malignant_epithelial_cell
84,-238,0,malignant_epithelial_cell
-163,-237,0,malignant_epithelial_cell
165,-237,0,malignant_epithelial_cell
-144,-236,0,malignant_epithelial_cell
-130,-236,0,malignant_epithelial_cell
112,-236,0,malignant_epithelial_cell
140,-236,0,malignant_epithelial_cell
-180,-235,0,malignant_epithelial_cell
-107,-235,0,malignant_epithelial_cell
-10,-235,0,malignant_epithelial_cell
64,-235,0,malignant_epithelial_cell
147,-235,0,malignant_epithelial_cell
0,-234,0,malignant_epithelial_cell
98,-234,0,malignant_epithelial_cell
129,-234,0,malignant_epithelial_cell
-140,-233,0,malignant_epithelial_cell
-101,-233,0,malignant_epithelial_cell
-23,-233,0,malignant_epithelial_cell
-11,-233,0,malignant_epithelial_cell
76,-233,0,malignant_epithelial_cell
183,-233,0,malignant_epithelial_cell
45,-232,0,malignant_epithelial_cell
